id,cpf,sexo,peso_inicial,peso_atual,altura,biceps,peito
1,92792053828,m,110.31,98.10,1.99,69.94,153.62
2,52204478741,m,111.2,106.97,1.84,45.85,151.53
3,11025247515,m,178.91,178.83,1.97,42.61,159.35
4,47853527950,m,67.21,54.32,2.1,41.08,88.32
5,65117155904,m,171.55,171.20,1.54,99.09,80.24
6,79925042160,m,58.71,60.47,1.56,71.56,177.99
7,55472700833,m,145.81,136.34,1.89,82.17,186.23
8,21243145560,f,83.25,70.91,1.94,98.56,104.8
9,85458210182,m,143.17,140.24,1.77,79.73,195.57
10,88191904438,m,142.74,133.17,1.86,45.49,117.3
11,40968616771,f,132.01,117.18,1.67,71.47,104.05
12,98753439511,f,64.49,64.90,1.61,70.57,114.23
13,59117552621,m,112.53,115.24,1.97,62.28,147.52
14,35461668844,f,89.49,88.83,1.98,54.41,168.85
15,60183030516,f,133.74,127.80,1.65,87.27,100.35
16,18556846750,m,82.03,83.56,1.58,57.04,171.25
17,28060737317,m,55.01,42.90,1.93,44.07,83.73
18,38017918828,f,111.2,104.48,1.84,77.76,149.92
19,27157782790,m,82.27,71.89,1.75,41.46,164.13
20,98524702303,m,68.8,67.72,1.52,34.92,161.5
21,26418681991,m,70.92,64.41,2.02,30.39,135.42
22,37297101508,f,108.1,104.81,1.51,64.0,83.86
23,75891411270,f,61.13,47.86,1.93,94.53,146.2
24,46002547673,m,78.03,64.63,2.06,42.7,137.56
25,52519681241,f,123.3,119.95,1.66,48.54,121.17
26,36512423402,f,61.95,50.98,1.88,64.0,182.59
27,45637804567,f,138.39,138.56,1.68,94.65,132.9
28,58340061917,f,68.45,55.09,1.59,66.75,85.26
29,72538458897,f,132.58,132.36,1.58,73.88,195.86
30,37733130638,f,89.35,75.06,1.8,91.52,135.04
31,80830327517,m,125.09,113.09,1.65,37.07,114.76
32,87103268479,f,125.21,122.76,1.86,43.89,80.61
33,96032599183,f,87.61,75.17,2.04,40.21,94.41
34,43001414103,m,125.69,128.50,1.76,72.47,125.54
35,50326862633,m,55.9,52.02,1.58,65.1,171.89
36,79461592264,m,93.23,98.01,2.09,90.0,154.27
37,93196150550,f,123.44,126.94,1.52,62.09,191.04
38,73873241315,m,82.08,82.57,1.64,56.92,180.38
39,78350394439,m,127.75,124.31,1.74,40.17,101.13
40,30684667843,f,157.36,152.52,1.68,65.72,167.78
41,13096404917,m,63.01,57.40,1.71,62.42,129.6
42,23045508278,f,88.34,85.81,1.93,92.61,182.76
43,85238284438,m,154.91,141.99,2.0,99.62,125.03
44,57105671831,f,61.74,62.30,1.69,30.25,129.38
45,28926042570,f,143.86,132.89,1.67,54.45,85.81
46,49094685604,f,122.75,108.49,1.6,57.12,88.28
47,24829347708,f,75.48,68.82,1.71,83.01,97.04
48,41778007082,m,80.15,72.53,1.54,39.43,159.2
49,92463136154,f,147.01,145.42,1.52,40.72,184.08
50,49826671010,m,63.52,61.44,1.84,84.6,83.24
51,23335089308,f,76.07,75.72,2.03,83.26,169.39
52,35708257016,m,159.22,150.09,1.77,79.98,104.16
53,32618758366,m,90.51,87.43,1.9,71.84,131.69
54,45530213073,f,99.96,90.11,1.82,65.67,169.5
55,77859135876,f,76.3,67.97,1.73,32.13,160.91
56,82120870772,f,111.56,104.01,2.08,70.97,115.08
57,50947136983,m,78.36,79.61,1.57,76.88,185.39
58,20689819471,m,124.85,114.52,1.52,41.84,125.57
59,26805565421,m,138.09,143.04,1.72,99.48,83.26
60,59905859691,m,145.6,147.40,1.6,66.74,188.15
61,44273302829,m,170.65,166.34,1.91,33.97,102.52
62,95194041390,f,169.33,170.10,1.94,38.21,170.06
